station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SBGR,2024-01-01 00:00,66.20,62.60,88.18,120.00,9.00,0.00,30.06,,6.21,,BKN,OVC,,,1300.00,2000.00,,,,,,,,,,66.20,SBGR 010000Z 12009KT 9999 BKN013 OVC020 19/17 Q1018,
SBGR,2024-01-01 01:00,68.00,62.60,82.86,100.00,7.00,0.00,30.09,,6.21,,SCT,BKN,,,1500.00,3500.00,,,,,,,,,,68.00,SBGR 010100Z 10007KT 9999 SCT015 BKN035 20/17 Q1019,
SBGR,2024-01-01 02:00,66.20,60.80,82.74,110.00,6.00,0.00,30.09,,6.21,,BKN,,,,3000.00,,,,,,,,,,,66.20,SBGR 010200Z 11006KT 9999 BKN030 19/16 Q1019,
SBGR,2024-01-01 03:00,66.20,59.00,77.60,100.00,6.00,0.00,30.06,,6.21,,BKN,,,,2300.00,,,,,,,,,,,66.20,SBGR 010300Z 10006KT 9999 BKN023 19/15 Q1018,
SBGR,2024-01-01 04:00,66.20,59.00,77.60,90.00,6.00,0.00,30.06,,6.21,,BKN,,,,2100.00,,,,,,,,,,,66.20,SBGR 010400Z 09006KT 9999 BKN021 19/15 Q1018,
SBGR,2024-01-01 05:00,66.20,57.20,72.74,80.00,7.00,0.00,30.03,,6.21,,BKN,,,,1900.00,,,,,,,,,,,66.20,SBGR 010500Z 08007KT 9999 BKN019 19/14 Q1017,
SBGR,2024-01-01 06:00,66.20,57.20,72.74,90.00,4.00,0.00,30.03,,6.21,,OVC,,,,1700.00,,,,,,,,,,,66.20,SBGR 010600Z 09004KT 9999 OVC017 19/14 Q1017,
SBGR,2024-01-01 07:00,66.20,59.00,77.60,70.00,8.00,0.00,30.03,,6.21,,OVC,,,,1500.00,,,,,,,,,,,66.20,SBGR 010700Z 07008KT 9999 OVC015 19/15 Q1017,
SBGR,2024-01-01 07:20,64.40,60.80,88.09,70.00,8.00,0.00,30.03,,6.21,,OVC,,,,1100.00,,,,,,,,,,,64.40,SBGR 010720Z 07008KT 9999 OVC011 18/16 Q1017,
SBGR,2024-01-01 08:00,66.20,60.80,82.74,100.00,6.00,0.00,30.03,,6.21,,OVC,,,,1300.00,,,,,,,,,,,66.20,SBGR 010800Z 10006KT 9999 OVC013 19/16 Q1017,
SBGR,2024-01-01 09:00,66.20,60.80,82.74,100.00,6.00,0.00,30.03,,6.21,,OVC,,,,1300.00,,,,,,,,,,,66.20,SBGR 010900Z 10006KT 9999 OVC013 19/16 Q1017,
SBGR,2024-01-01 10:00,66.20,60.80,82.74,70.00,10.00,0.00,30.03,,6.21,,OVC,,,,1500.00,,,,,,,,,,,66.20,SBGR 011000Z 07010KT 9999 OVC015 19/16 Q1017,
SBGR,2024-01-01 11:00,69.80,60.80,73.09,70.00,14.00,0.00,30.03,,6.21,,BKN,,,,2000.00,,,,,,,,,,,69.80,SBGR 011100Z 07014KT 9999 BKN020 21/16 Q1017,
SBGR,2024-01-01 12:00,69.80,60.80,73.09,70.00,11.00,0.00,30.06,,6.21,,OVC,,,,2000.00,,,,,,,,,,,69.80,SBGR 011200Z 07011KT 9999 OVC020 21/16 Q1018,
SBGR,2024-01-01 13:00,71.60,60.80,68.75,70.00,10.00,0.00,30.06,,6.21,,BKN,,,,2000.00,,,,,,,,,,,71.60,SBGR 011300Z 07010KT 9999 BKN020 22/16 Q1018,
SBGR,2024-01-01 14:00,73.40,62.60,68.94,80.00,7.00,0.00,30.06,,6.21,,OVC,,,,2000.00,,,,,,,,,,,73.40,SBGR 011400Z 08007KT 9999 OVC020 23/17 Q1018,
SBGR,2024-01-01 15:00,75.20,62.60,64.91,60.00,7.00,0.00,30.06,,6.21,,BKN,,,,3000.00,,,,,,,,,,,75.20,SBGR 011500Z 06007KT 9999 BKN030 24/17 Q1018,
SBGR,2024-01-01 16:00,73.40,62.60,68.94,120.00,8.00,0.00,30.03,,6.21,,OVC,,,,3000.00,,,,,,,,,,,73.40,SBGR 011600Z 12008KT 9999 OVC030 23/17 Q1017,
SBGR,2024-01-01 17:00,77.00,64.40,65.12,110.00,6.00,0.00,30.00,,6.21,,BKN,,,,2500.00,,,,,,,,,,,77.00,SBGR 011700Z 11006KT 9999 BKN025 25/18 Q1016,
SBGR,2024-01-01 18:00,73.40,64.40,73.44,120.00,7.00,0.00,30.00,,6.21,,OVC,,,,2500.00,,,,,,,,,,,73.40,SBGR 011800Z 12007KT 9999 OVC025 23/18 Q1016,
SBGR,2024-01-01 19:00,75.20,64.40,69.14,110.00,6.00,0.00,29.97,,6.21,,BKN,BKN,,,2000.00,3000.00,,,,,,,,,,75.20,SBGR 011900Z 11006KT 9999 BKN020 BKN030 24/18 Q1015,
SBGR,2024-01-01 20:00,75.20,64.40,69.14,140.00,8.00,0.00,29.97,,6.21,,BKN,BKN,,,2000.00,3000.00,,,,,,,,,,75.20,SBGR 012000Z 14008KT 9999 BKN020 BKN030 24/18 Q1015,
SBGR,2024-01-01 21:00,73.40,64.40,73.44,120.00,6.00,0.00,29.97,,6.21,,BKN,,,,2500.00,,,,,,,,,,,73.40,SBGR 012100Z 12006KT 9999 BKN025 23/18 Q1015,
SBGR,2024-01-01 22:00,71.60,64.40,78.04,120.00,8.00,0.00,29.97,,6.21,,BKN,,,,2000.00,,,,,,,,,,,71.60,SBGR 012200Z 12008KT 9999 BKN020 22/18 Q1015,
SBGR,2024-01-01 23:00,69.80,64.40,82.98,120.00,7.00,0.00,30.00,,6.21,,FEW,BKN,,,1500.00,2000.00,,,,,,,,,,69.80,SBGR 012300Z 12007KT 9999 FEW015 BKN020 21/18 Q1016,
SBGR,2024-01-02 00:00,69.80,64.40,82.98,120.00,8.00,0.00,30.03,,6.21,,FEW,BKN,,,1500.00,2000.00,,,,,,,,,,69.80,SBGR 020000Z 12008KT 9999 FEW015 BKN020 21/18 Q1017,
SBGR,2024-01-02 01:00,69.80,64.40,82.98,120.00,5.00,0.00,30.06,,6.21,,OVC,,,,1500.00,,,,,,,,,,,69.80,SBGR 020100Z 12005KT 9999 OVC015 21/18 Q1018,
SBGR,2024-01-02 02:00,69.80,62.60,77.90,100.00,8.00,0.00,30.06,,6.21,,OVC,,,,1500.00,,,,,,,,,,,69.80,SBGR 020200Z 10008KT 9999 OVC015 21/17 Q1018,
SBGR,2024-01-02 03:00,69.80,62.60,77.90,100.00,9.00,0.00,30.03,,6.21,,OVC,,,,1500.00,,,,,,,,,,,69.80,SBGR 020300Z 10009KT 9999 OVC015 21/17 Q1017,
SBGR,2024-01-02 04:00,68.00,62.60,82.86,80.00,8.00,0.00,30.00,,6.21,,BKN,,,,1500.00,,,,,,,,,,,68.00,SBGR 020400Z 08008KT 9999 BKN015 20/17 Q1016,
SBGR,2024-01-02 05:00,68.00,62.60,82.86,70.00,8.00,0.00,30.00,,6.21,,BKN,,,,1300.00,,,,,,,,,,,68.00,SBGR 020500Z 07008KT 9999 BKN013 20/17 Q1016,
SBGR,2024-01-02 06:00,68.00,64.40,88.26,70.00,8.00,0.00,29.97,,6.21,,BKN,,,,1300.00,,,,,,,,,,,68.00,SBGR 020600Z 07008KT 9999 BKN013 20/18 Q1015,
SBGR,2024-01-02 07:00,66.20,62.60,88.18,70.00,11.00,0.00,29.97,,6.21,,BKN,,,,1700.00,,,,,,,,,,,66.20,SBGR 020700Z 07011KT 9999 BKN017 19/17 Q1015,
SBGR,2024-01-02 08:00,66.20,62.60,88.18,60.00,11.00,0.00,29.97,,6.21,,OVC,,,,1500.00,,,,,,,,,,,66.20,SBGR 020800Z 06011KT 9999 OVC015 19/17 Q1015,
