station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SBMT,2024-01-01 00:00,66.20,59.00,77.60,120.00,11.00,0.00,30.06,,6.21,,BKN,,,,1700.00,,,,,,,,,,,66.20,SBMT 010000Z 12011KT 9999 BKN017 19/15 Q1018,
SBMT,2024-01-01 01:00,66.20,59.00,77.60,110.00,2.00,0.00,30.09,,6.21,,BKN,,,,1700.00,,,,,,,,,,,66.20,SBMT 010100Z 11002KT 9999 BKN017 19/15 Q1019,
SBMT,2024-01-01 02:00,66.20,59.00,77.60,100.00,8.00,0.00,30.09,,6.21,,BKN,,,,1700.00,,,,,,,,,,,66.20,SBMT 010200Z 10008KT 9999 BKN017 19/15 Q1019,
SBMT,2024-01-01 09:00,64.40,57.20,77.45,90.00,7.00,0.00,30.03,,6.21,,SCT,,,,1700.00,,,,,,,,,,,64.40,SBMT 010900Z 09007KT 9999 SCT017 18/14 Q1017,
SBMT,2024-01-01 10:00,66.20,59.00,77.60,100.00,9.00,0.00,30.03,,6.21,,BKN,,,,1300.00,,,,,,,,,,,66.20,SBMT 011000Z 10009KT 070V130 9999 BKN013 19/15 Q1017,
SBMT,2024-01-01 11:00,68.00,59.00,72.92,100.00,10.00,0.00,30.03,,6.21,,SCT,,,,1700.00,,,,,,,,,,,68.00,SBMT 011100Z 10010KT 060V120 9999 SCT017 20/15 Q1017,
SBMT,2024-01-01 12:00,69.80,59.00,68.55,90.00,10.00,0.00,30.06,,6.21,,BKN,,,,2300.00,,,,,,,,,,,69.80,SBMT 011200Z 09010KT 060V120 9999 BKN023 21/15 Q1018,
SBMT,2024-01-01 13:00,71.60,59.00,64.48,80.00,9.00,0.00,30.06,,6.21,,BKN,,,,2300.00,,,,,,,,,,,71.60,SBMT 011300Z 08009KT 050V110 9999 BKN023 22/15 Q1018,
SBMT,2024-01-01 14:00,73.40,59.00,60.67,110.00,7.00,0.00,30.06,,6.21,,BKN,,,,2600.00,,,,,,,,,,,73.40,SBMT 011400Z 11007KT 070V160 9999 BKN026 23/15 Q1018,
SBMT,2024-01-01 15:00,75.20,59.00,57.12,90.00,7.00,0.00,30.03,,6.21,,BKN,,,,3000.00,,,,,,,,,,,75.20,SBMT 011500Z 09007KT 060V120 9999 BKN030 24/15 Q1017,
SBMT,2024-01-01 16:00,75.20,60.80,60.90,120.00,8.00,0.00,30.03,,6.21,,BKN,,,,3000.00,,,,,,,,,,,75.20,SBMT 011600Z 12008KT 060V170 9999 BKN030 24/16 Q1017,
SBMT,2024-01-01 17:00,75.20,62.60,64.91,130.00,9.00,0.00,30.00,,6.21,,BKN,,,,3000.00,,,,,,,,,,,75.20,SBMT 011700Z 13009KT 9999 BKN030 24/17 Q1016,
SBMT,2024-01-01 18:00,75.20,62.60,64.91,130.00,7.00,0.00,29.97,,6.21,,BKN,,,,3000.00,,,,,,,,,,,75.20,SBMT 011800Z 13007KT 9999 BKN030 24/17 Q1015,
SBMT,2024-01-01 19:00,75.20,62.60,64.91,100.00,10.00,0.00,29.97,,6.21,,BKN,,,,3000.00,,,,,,,,,,,75.20,SBMT 011900Z 10010KT 9999 BKN030 24/17 Q1015,
SBMT,2024-01-01 20:00,75.20,62.60,64.91,110.00,10.00,0.00,29.94,,6.21,,BKN,,,,3000.00,,,,,,,,,,,75.20,SBMT 012000Z 11010KT 9999 BKN030 24/17 Q1014,
SBMT,2024-01-01 21:00,73.40,62.60,68.94,110.00,11.00,0.00,29.94,,6.21,,BKN,,,,3000.00,,,,,,,,,,,73.40,SBMT 012100Z 11011KT 9999 BKN030 23/17 Q1014,
SBMT,2024-01-01 22:00,71.60,62.60,73.27,110.00,9.00,0.00,29.97,,6.21,,BKN,,,,2500.00,,,,,,,,,,,71.60,SBMT 012200Z 11009KT 9999 BKN025 22/17 Q1015,
SBMT,2024-01-01 23:00,71.60,62.60,73.27,110.00,8.00,0.00,30.00,,6.21,,BKN,,,,2500.00,,,,,,,,,,,71.60,SBMT 012300Z 11008KT 9999 BKN025 22/17 Q1016,
SBMT,2024-01-02 00:00,69.80,62.60,77.90,110.00,9.00,0.00,30.00,,6.21,,BKN,,,,2000.00,,,,,,,,,,,69.80,SBMT 020000Z 11009KT 9999 BKN020 21/17 Q1016,
SBMT,2024-01-02 01:00,68.00,62.60,82.86,110.00,9.00,0.00,30.03,,6.21,,BKN,,,,2000.00,,,,,,,,,,,68.00,SBMT 020100Z 11009KT 9999 BKN020 20/17 Q1017,
SBMT,2024-01-02 02:00,68.00,62.60,82.86,100.00,8.00,0.00,30.03,,6.21,,BKN,,,,2000.00,,,,,,,,,,,68.00,SBMT 020200Z 10008KT 9999 BKN020 20/17 Q1017,
SBMT,2024-01-02 09:00,66.20,59.00,77.60,80.00,8.00,0.00,29.97,,6.21,,BKN,,,,1500.00,,,,,,,,,,,66.20,SBMT 020900Z 08008KT 040V110 9999 BKN015 19/15 Q1015,
