Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;99
Nome da estação:;Pinheiros

Data;Hora;Média Horária;Média Horária;Média Horária
;;MP2.5(Partículas Inaláveis Finas) - µg/m3;O3(Ozônio) - µg/m3;VV(Velocidade do Vento) - m/s
01/11/2023;01:00;;1;1,0
01/11/2023;02:00;;12;1,1
01/11/2023;03:00;;14;1,0
01/11/2023;04:00;;22;1,3
01/11/2023;05:00;;18;1,2
01/11/2023;06:00;;21;1,5
01/11/2023;07:00;;19;1,4
01/11/2023;08:00;;8;1,1
01/11/2023;09:00;;16;1,5
01/11/2023;10:00;;22;1,5
01/11/2023;11:00;;23;1,4
01/11/2023;12:00;;18;1,3
01/11/2023;13:00;;21;1,7
01/11/2023;14:00;;19;1,7
01/11/2023;15:00;;21;2,0
01/11/2023;16:00;;21;2,4
01/11/2023;17:00;;21;2,1
01/11/2023;18:00;;25;2,7
01/11/2023;19:00;;20;1,9
01/11/2023;20:00;;23;2,4
01/11/2023;21:00;;17;2,5
01/11/2023;22:00;;11;2,2
01/11/2023;23:00;;16;2,5
01/11/2023;24:00;;15;2,2
02/11/2023;01:00;;17;2,2
02/11/2023;02:00;;19;2,1
02/11/2023;03:00;;21;2,2
02/11/2023;04:00;;24;2,0
02/11/2023;05:00;;23;2,3
02/11/2023;06:00;;23;2,4
02/11/2023;07:00;;22;2,4
02/11/2023;08:00;;20;2,2
02/11/2023;09:00;;25;2,4
02/11/2023;10:00;;32;2,3
02/11/2023;11:00;;37;2,7
02/11/2023;12:00;;44;2,4
02/11/2023;13:00;;45;2,4
02/11/2023;14:00;;52;2,7
02/11/2023;15:00;;50;3,1
02/11/2023;16:00;;41;2,5
02/11/2023;17:00;;28;2,4
02/11/2023;18:00;;15;1,6
02/11/2023;19:00;7;21;2,7
02/11/2023;20:00;2;15;2,2
02/11/2023;21:00;3;12;2,0
02/11/2023;22:00;10;8;1,4
02/11/2023;23:00;0;4;1,2
02/11/2023;24:00;0;1;0,8
03/11/2023;01:00;0;0;0,8
03/11/2023;02:00;5;3;0,8
03/11/2023;03:00;4;8;1,2
03/11/2023;04:00;7;7;0,8
03/11/2023;05:00;7;2;0,7
03/11/2023;06:00;3;0;0,0
03/11/2023;07:00;12;3;0,6
03/11/2023;08:00;9;2;1,1
03/11/2023;09:00;13;21;2,4
03/11/2023;10:00;6;59;3,5
03/11/2023;11:00;6;75;3,5
03/11/2023;12:00;11;93;3,9
03/11/2023;13:00;11;98;3,8
03/11/2023;14:00;17;95;3,4
03/11/2023;15:00;22;72;2,3
03/11/2023;16:00;22;60;2,2
03/11/2023;17:00;;;1,6
03/11/2023;18:00;;;
03/11/2023;19:00;;;
03/11/2023;20:00;;;
03/11/2023;21:00;;;
03/11/2023;22:00;;27;1,2
03/11/2023;23:00;;19;1,3
03/11/2023;24:00;;23;1,5
04/11/2023;01:00;;33;1,7
04/11/2023;02:00;;30;1,7
04/11/2023;03:00;;27;1,2
04/11/2023;04:00;;5;0,0
04/11/2023;05:00;;2;1,0
04/11/2023;06:00;;3;1,3
04/11/2023;07:00;;17;1,1
04/11/2023;08:00;;13;1,1
04/11/2023;09:00;;15;1,5
04/11/2023;10:00;0;26;2,2
04/11/2023;11:00;8;35;2,4
04/11/2023;12:00;1;60;3,0
04/11/2023;13:00;3;70;3,8
04/11/2023;14:00;0;73;3,3
04/11/2023;15:00;1;72;3,3
04/11/2023;16:00;2;76;2,7
04/11/2023;17:00;9;42;2,4
04/11/2023;18:00;11;52;2,1
04/11/2023;19:00;10;15;1,3
04/11/2023;20:00;3;5;1,2
04/11/2023;21:00;5;4;1,2
04/11/2023;22:00;14;4;0,7
04/11/2023;23:00;27;2;0,9
04/11/2023;24:00;20;2;0,9
05/11/2023;01:00;19;1;1,0
05/11/2023;02:00;14;10;1,2
05/11/2023;03:00;9;16;1,1
05/11/2023;04:00;7;2;0,8
05/11/2023;05:00;6;5;0,8
05/11/2023;06:00;5;7;1,2
05/11/2023;07:00;4;35;2,9
05/11/2023;08:00;4;36;2,2
05/11/2023;09:00;1;42;2,5
05/11/2023;10:00;0;52;2,5
05/11/2023;11:00;3;64;2,9
05/11/2023;12:00;9;71;2,2
05/11/2023;13:00;14;66;3,1
05/11/2023;14:00;11;59;3,5
05/11/2023;15:00;11;54;2,8
05/11/2023;16:00;11;56;3,5
05/11/2023;17:00;14;52;3,3
05/11/2023;18:00;14;42;2,9
05/11/2023;19:00;7;42;3,3
05/11/2023;20:00;2;40;2,7
05/11/2023;21:00;11;32;2,3
05/11/2023;22:00;13;42;3,3
05/11/2023;23:00;5;44;2,8
05/11/2023;24:00;7;47;3,3
06/11/2023;01:00;6;45;2,6
06/11/2023;02:00;12;49;3,3
06/11/2023;03:00;9;48;2,5
06/11/2023;04:00;6;47;2,2
06/11/2023;05:00;5;48;2,8
06/11/2023;06:00;8;42;3,0
06/11/2023;07:00;9;35;2,9
06/11/2023;08:00;5;47;3,6
06/11/2023;09:00;6;51;2,8
06/11/2023;10:00;5;53;3,0
06/11/2023;11:00;15;55;2,9
06/11/2023;12:00;11;75;2,8
06/11/2023;13:00;9;98;2,6
06/11/2023;14:00;9;87;3,0
06/11/2023;15:00;12;67;2,5
06/11/2023;16:00;16;67;3,6
06/11/2023;17:00;16;58;3,4
06/11/2023;18:00;23;42;3,6
06/11/2023;19:00;14;21;2,7
06/11/2023;20:00;9;26;3,3
06/11/2023;21:00;9;31;2,5
06/11/2023;22:00;2;34;3,2
06/11/2023;23:00;8;35;3,1
06/11/2023;24:00;10;26;2,0
07/11/2023;01:00;12;28;2,7
07/11/2023;02:00;10;32;2,7
07/11/2023;03:00;9;34;2,4
07/11/2023;04:00;11;31;2,6
07/11/2023;05:00;7;36;3,5
07/11/2023;06:00;7;32;3,1
